Название вакансии	Название компании	Город	Зарплата	Опыт работы	Описание	Требования	Тип занятости	Ключевые навыки	Источник
Cпециалист по работе с данными (Data Scientist)	Открытый код	Самара	Договорная	1–3 года	Что нужно делать: Необходимые знания и компетенции: Будет плюсом: Что мы предлагаем:	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/114746523
Data scientist	Ростелеком	Нижний	Договорная	1–3 года	Возможности удивляют, когда работаешь с уникальными проектами в масштабах страны ????? ???  	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/109399298
Data scientist	Ростелеком	Санкт-Петербург	Договорная	1–3 года	Возможности удивляют, когда работаешь с уникальными проектами в масштабах страны ????? ???  	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/109399299
Data Scientist (MLTech)	Лаборатория Касперского	Москва	Договорная	1–3 года	"Привет! Мы – команда Machine Learning Technology Research and Development, и мы приглашаем специалистов по Data Science решать с нами задачи на стыке машинного обучения и кибербезопасности: детектировать зловредные файлы, распознавать фишинговые веб-страницы и ловить хакеров на взломанных компьютерах. Чем предстоит заниматься:  Детектирование вредоносных файлов; Детектирование мошеннических веб-сайтов; В будущем - и другие задачи, как про кибербез, так и про бизнес. Ты подходишь нам, если:  Имеешь опыт машинного обучения в индустрии; Готов глубоко погружаться в данные, анализировать модели и строить интерпретации, общаться с заказчиками и превращать их пожелания в гипотезы; Хочешь доводить проекты до прода и не боишься выходить за пределы jupyter-тетрадок; Любишь обсуждать идеи, свой код и чужой код с коллегами; Интересуешься безопасностью. Что требуется от тебя:  Умение писать чистый и понятный код на современном Python; Знание классического ML и соответствующих библиотек (scikit-learn, CatBoost); Знакомство с нейросетями и Pytorch; Представление как работать со Spark; Умение писать несложные Docker-файлы. Что предлагает наша команда:  Мы помогаем друг другу расти и добиваться результатов, решая прикладные задачи; Не боимся использовать новые технологии и пробовать новые идеи; Используем Spark-кластер и GPU-кластер, чтобы обрабатывать огромные коллекции файлов; Рассказываем о результатах своей работы в статьях и на конференциях. Мы предлагаем: Интересную работу Команда лучших экспертов Масштабные задачи Самые современные технологии Расширение технического кругозора Социальный пакет ДМС и страхование жизни (включая детей) с первого месяца Бесплатное обучение: митапы, конференции, сертификации, 8 иностранных языков Ежемесячный бонус на питание Оплата мобильной связи Комфортные условия 2 спортзала и сауны прямо в офисе Свой ресторан и бар Врач и массаж в офисе Программа релокации для кандидатов из регионов О компании 25 лет строим безопасный мир.
Более 400 миллионов пользователей выбирают наши технологии для защиты своих данных, а мы каждый день работаем над их совершенствованием. Наша задача — обеспечить безопасность технологий, чтобы люди могли доверять инновациям и использовать безграничный потенциал технологического прогресса. Прямо сейчас безопасное будущее создают больше 4500 человек в 34 офисах по всему миру.
Активируй будущее вместе с нами."	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div></div>"	https://rabota1000.ru/vacancy/98985891
Senior Data Scientist	РСХБ-Интех	Москва	Договорная	более 6 лет	"Мы занимаемся цифровой трансформацией Банка РСХБ-ИНТЕХ— молодая, драйвовая IT-компания и digital-сердце Россельхозбанка. Мы разрабатываем новые банковские продукты и улучшаем текущие. Наши сервисы помогают миллионам клиентов удалённо пользоваться банковскими услугами, оформлять карты, брать кредиты и инвестировать. Мы даём возможность агропредпринимателям продавать и покупать сельскохозяйственные товары онлайн, а малому и крупному бизнесу — вести финансовые дела в надёжном и удобном онлайн-пространстве.Вам предстоит участвовать в больших и инновационных проектах, создавать новые digital-продукты. Наша цель – сделать экосистему нового поколения, инновационный продукт и усовершенствовать взаимодействие пользователя с банком, сделать его понятным и удобным. Требования: Опыт построения ML-моделей для формирования персональных рекомендаций клиентам (банковская отрасль),- Уверенное владение Python и основными библиотеками анализа данных (numpy, pandas, sklearn, lightgbm, xgboost, catboost и т.п.);- Понимание классических методов и алгоритмов машинного обучения, опыт их применения на практике;- Способность работать с большими объемами данных, знание SQL, Spark, умение строить Data Pipeline;- Опыт постановки требований к составу исходных данных, понимание модели данных банковского ХД, структуры продуктового каталога, клиентского профиля;- Умение переложить бизнес-задачу на язык анализа данных, подобрать алгоритм с учетом требований и ограничений, интерпретировать результат,- Хорошее знание теории вероятностей и математической статистики,- Опыт реализации real-time сервисов с использованием ML, а также построения MLOps процессов.Опционально (желательно):- опыт работы с NLP-моделями, алгоритмами на основе ChatGPT. Наши преимущества Создаём новые продукты и сервисы в банке Сочетаем стабильность банка с IT-культурой Используем современный стек технологий Развиваем гибкую методологию разработки"	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/108797837
Senior Econometrist / Senior Data Scientist	АДВ	Москва	Договорная	1–3 года	"АДВ — ведущая коммуникационная группа России.* Более 20 лет мы создаем и развиваем решения
            и технологии, призванные построить прозрачную связь между инвестициями в маркетинг и продажами. АДВ Lab – дивизион, где создаются уникальные технологичные продукты на стыке big data и AI. Эти продукты меняют рекламную индустрию и облегчают работу сотрудников агентств. Мы приглашаем тебя на позицию Senior Econometrist. Основные задачи: Для нас важно: ????? Офис в центре, рядом с красивой набережной  Гибридный график работы  ДМС  Регулярные митапы с руководством Лекции и мастер-классы  Скидки на фитнес, иностранные языки   Благотворительные акции  Командные челленджи  Бесплатные онлайн-тренировки"	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MS Excel</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MS PowerPoint</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Навыки презентации</span></div></div>"	https://rabota1000.ru/vacancy/106774493
Data Scientist NLP (Global markets)	СБЕР	Москва	Договорная	1–3 года	"Кто мы? Команда, отвечающая за AI трансформацию бизнеса Департамента Глобальных Рынков Сбера. Что мы делаем? В нашей компетенции — создание, тестирования и вывод в промышленную среду моделей для ключевых направлений ДГР: FX Trading, Commodities, Equity, Founding, Fixed Income, Rates, Credit Valuation Adjustment, Structured Products. Мы помогаем внутренним клиентам увеличивать доходность, создаем информационную платформу, проводим анализ финансовых рынков, работаем с разными форматами данных, в том числе, занимаемся текстовой аналитикой. Обязанности Требования Условия 
  							масштабноеAgile-комьюнити
  						 
  							цифровыхлюдей
  						 
  							продуктовыхкоманд 
  						 
  							профессиональных IT-сообществ
  						 
  							серверов
  						 
  							внедрений в год,изменения каждые30 сек
  						"	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/115442217
Ведущий Data Scientist, Ранжирование поиска	Ozon	Москва	Договорная	3–6 лет	В команде Ozon Tech более 3800 IT-специалистов в сотнях кросс-функциональных команд — и мы продолжаем расти. Десятки миллионов людей пользуются нашими сервисами, а наша IT-инфраструктура управляет миллионами процессов каждый час. Развиваем высокую инженерную культуру: используем лучшие практики, чтобы поддерживать проекты красиво и эффективно. Мы решаем сложные и интересные задачи в области хранения и обработки данных, кибербезопасности, совершенствуем и автоматизируем системы, которыми пользуются продавцы, покупатели, партнёры и сотрудники Ozon. Мы стремимся делать лучший в России e-com — присоединяйся! Наша команда занимается разработкой сервисов для поиска на сайте Ozon: находим и ранжируем товары, формируем поисковые подсказки, исправляем опечатки. Мы отвечаем за весь pipeline сбора данных, обучение моделей ранжирования, проведение и анализ новых экспериментов. Работаем по Agile с двухнедельными спринтами. Общие задачи: Глобально- это улучшение моделей поиска: добавление новых признаков, изменение логики ранжирования (как пример - уменьшение среднего времени доставки заказанного товара), улучшение Unit-экономики за счет оптимизации соответствующих метрик. Улучшение качества ранжирования в отдельных категориях / разделах сайта, технические задачи, связанные с архитектурой расчета и обновления признаков, тестиования различных типов моделей и другое. Наш стек:  Вам предстоит: Мы ожидаем: Опыт работы в Data Science от 3х лет. Уверенные теоретические знания ML. Сильный Python. Уверенное знание hadoop - стека, опыт работы с большими данными. Как плюс: Мы предлагаем: Возможность гибридной и удалённой работы, а также современные офисы в Москве, Санкт-Петербурге, Иннополисе и Новосибирске. Наши сотрудники выступают и участвуют в конференциях, мы оплачиваем билеты и дорогу. Покупаем курсы по запросу и помогаем карьерно развиваться по программе HiPo. Доступ к MyBook и Eduson, скидки на английский язык от SkyEng и Флоу. Бесплатные курсы программирования, математики и английского языка для детей сотрудников. Делимся экспертизой на бесплатных курсах Route 256 (Go, QA, C#, iOS, Android, Frontend), а начинающие специалисты могут попасть на оплачиваемую стажировку Route Start. ДМС со стоматологией, страхование от несчастного случая, полис выезжающего за рубеж, онлайн-поддержка психолога, юриста и эксперта по финансам. В офисе Москва-Сити ведут приём врач-терапевт и психолог. Партнёрские программы: от помощи в ипотеке до скидок в Кидзанию. Материальная помощь в сложных ситуациях, подарочные сертификаты при рождении ребёнка. Реферальный бонус за рекомендацию друга. Оборудованные кухни (завтраки, фрукты, овощи, сэндвичи), в офисе расположены вендинговые автоматы со здоровой едой. Компенсация ужина для сотрудников в Москва-Сити.  Беговой, волейбольный, хоккейный и футбольный клубы. Скидки на карты World Class, X-fit, 5 элемент, Fitmost. Просторный опенспейс с панорамными видами и местами для отдыха и социальной инфраструктурой Зарплатные проекты: Райффайзенбанк, Сбербанк, АльфаБанк, ГазпромБанк, Тинькофф, ВТБ банк, МТС банк.	Полная занятость	удаленная работа	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">data science</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Разработка поисковых технологий</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">IT</span></div></div>"	https://rabota1000.ru/vacancy/442430
Data Scientist	Ниармедик Ваш Доктор Рядом	Москва	Договорная	1–3 года	"AI, Machine Learning, Big Data, Neural Networks – если ты знаешь, что на самом деле скрывается за этими популярными словами; умеешь применять их на практике (при этом знаешь, как в 90% случаев обойтись без них); готов очень много работать, создавая крутые и полезные mobile health продукты; понимаешь, что 80% успеха это не анализ данных, а их правильный сбор; приходи к нам и присоединяйся к команде, создающей будущее российской цифровой медицины. Мы уже автоматизировали и оптимизировали большинство процессов, но видим огромный потенциал во внедрении передовых технологий в сфере медицины. Нашими продуктами пользуются крупнейшие коммерческие клиники и государственные учреждения. Мы собираем команду, которая сможет взять на себя широкий спектр задач: построение системы сбора данных для машинной обработки, тегирование текстов и NLP, распознавание изображений, создание рекомендательных систем и много другое.   Обязанности: Будет большим плюсом опыт работы с моделями машинного обучения в области работы с текстом или медицинской сфере   Обязательно расскажите в сопроводительном письме о своих планах и достижениях!"	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Linux</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine Learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">NLP</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Руководство коллективом</span></div></div>"	https://rabota1000.ru/vacancy/70197392
Data Scientist (Middle)	Строительный Двор	Москва	Договорная	1–3 года	"своевременная
							оплата труда развитие
							и рост комфортные
							рабочие места вкусные завтраки
							и обеды Более 250 человек в Тюменском и Московском центрах разработки принимают активное участие в проектах компании, направленных на разработку наших внутренних ERP систем, приложений, интернет-магазинов. Ищем специалиста Data Science и Machine Learning для решения задач в области DIY ритейла, е-commerce для крупной компании с развитой сетью филиалов. Чем предстоит заниматься: Что мы предлагаем: Что для нас важно: Будет плюсом: Стек используемых технологий: SQL, SAS Base/CASL, Python (numpy, pandas, sklearn, matplotlib/seaborn, nltk, keras/pytorch/tensorflow), SAS Viya, SAS Enterprise Miner, алгоритмы машинного обучения   Более5000 сотрудников 29 лет на рынке Более20 городов Более300 магазинов"	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine Learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Pandas</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Numpy</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Big Data</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">NLP</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Sas</span></div></div>"	https://rabota1000.ru/vacancy/62153228
Data-Scientist (Опыт работы ОБЯЗАТЕЛЕН от 1 года)	Weborama Russia	Москва	Договорная	1–3 года	Weborama - международная независимая дата компания. Основана в Париже в 1998 году, в России представлена с 2012 года. Компания развивает технологии и алгоритмы сбора, сегментации и активации данных о поведении интернет-пользователей, располагает наиболее полным набором технологических решений и широкой экспертизой в области использования аудиторных данных в маркетинге. Клиентами Weborama являются более 300 компаний по всему миру, крупнейшие глобальные и локальные бренды, рекламные агентства и площадки. В нашей компании растет количество клиентских заказов, поэтому ищем дата-аналитика на полный рабочий день. Ищем человека, заинтересованного в развитии навыков анализа данных и машинного обучения на примере решения реальных бизнес-задач в области интернет-рекламы, начиная с предобработки данных и заканчивая отчетом о полученных результатах. Рассматриваем кандидатов без опыта работы Обязанности: Требования: Плюсом будет: Условия:	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский — B2 — Средне-продвинутый</span></div></div>"	https://rabota1000.ru/vacancy/109858006
Data Scientist, Маркетплейс, Антибот	Ozon	Москва	Договорная	1–3 года	"В команде Ozon Tech более 3800 IT-специалистов в сотнях кросс-функциональных команд — и мы продолжаем расти. Десятки миллионов людей пользуются нашими сервисами, а наша IT-инфраструктура управляет миллионами процессов каждый час. Развиваем высокую инженерную культуру: используем лучшие практики, чтобы поддерживать проекты красиво и эффективно. Мы решаем сложные и интересные задачи в области хранения и обработки данных, кибербезопасности, совершенствуем и автоматизируем системы, которыми пользуются продавцы, покупатели, партнёры и сотрудники Ozon. Мы стремимся делать лучший в России e-com — присоединяйся! ""Будет весело и страшно!"" - такой девиз у нашей команды ""Антибот"", которая является частью большого отдела ""Антифрод"".Наша задача защищать ключевые сервисы Ozon от паразитного бот-трафика. Мы работаем с разнообразными источниками данных: Hadoop, Kafka, Vertica, ClickHouse, PostgreSQL и др. Строим аналитические, статистические модели, нейронные сети, проводим поведенческий анализ и многое другое.Если ты вдохновляешься возможностью поработать сразу со многими инструментами, не боишься высоких нагрузок и больших объемов данных, ждем твой отклик. Вам предстоит: Мы ожидаем: Будет плюсом: Мы предлагаем: Возможность гибридной и удалённой работы, а также современные офисы в Москве, Санкт-Петербурге, Иннополисе и Новосибирске. Наши сотрудники выступают и участвуют в конференциях, мы оплачиваем билеты и дорогу. Покупаем курсы по запросу и помогаем карьерно развиваться по программе HiPo. Доступ к MyBook и Eduson, скидки на английский язык от SkyEng и Флоу. Бесплатные курсы программирования, математики и английского языка для детей сотрудников. Делимся экспертизой на бесплатных курсах Route 256 (Go, QA, C#, iOS, Android, Frontend), а начинающие специалисты могут попасть на оплачиваемую стажировку Route Start. ДМС со стоматологией, страхование от несчастного случая, полис выезжающего за рубеж, онлайн-поддержка психолога, юриста и эксперта по финансам. В офисе Москва-Сити ведут приём врач-терапевт и психолог. Партнёрские программы: от помощи в ипотеке до скидок в Кидзанию. Материальная помощь в сложных ситуациях, подарочные сертификаты при рождении ребёнка. Реферальный бонус за рекомендацию друга. Оборудованные кухни (завтраки, фрукты, овощи, сэндвичи), в офисе расположены вендинговые автоматы со здоровой едой. Компенсация ужина для сотрудников в Москва-Сити.  Беговой, волейбольный, хоккейный и футбольный клубы. Скидки на карты World Class, X-fit, 5 элемент, Fitmost. Просторный опенспейс с панорамными видами и местами для отдыха и социальной инфраструктурой Зарплатные проекты: Райффайзенбанк, Сбербанк, АльфаБанк, ГазпромБанк, Тинькофф, ВТБ банк, МТС банк."	Полная занятость	удаленная работа	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">NLP</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Spark</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Hadoop</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine Learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">PyTorch</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Big Data</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Data Science</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Анализ данных</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">IT</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Торговая площадка</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Аналитическое мышление</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Алгоритмы</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Airflow</span></div></div>"	https://rabota1000.ru/vacancy/75220836
Ведущий разработчик Data Scientist/ Team lead Data Scientist	ЛАНИТ	Санкт-Петербург	Договорная	3–6 лет	Компания НОРБИТ (входит в ГК ЛАНИТ), является аккредитованной ИТ-компанией, специализируется на разработке и внедрении эффективных решений для автоматизации бизнеса и государственного управления. В штате компании работает около 1000 специалистов, офисы представлены в 11 городах России и СНГ. За 21 год работы НОРБИТ успешно завершил более 1000 проектов для компаний из государственного и коммерческого секторов. Среди заказчиков НОРБИТ – крупные компании из России, Армении, Узбекистана, Монголии и других стран. НАШИ ПОЖЕЛАНИЯ К СПЕЦИАЛИСТУ: ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ: ЧТО МЫ МОЖЕМ ВАМ ПРЕДЛОЖИТЬ:	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/79399523
Data scientist (Валидатор моделей банковской и торговой книг)	СБЕР	Москва	Договорная	1–3 года	"В финансовой практике множество позиций Банка принято называть Книгой. Торговой книгой называют спекулятивные позиции Банка на финансовом рынке (пример - акции, облигации, производные финансовые инструменты). Позиции, не вошедшие в Торговую книгу, называют Банковской книгой (пример - кредиты, депозиты, пластиковые карты). В процессе управления позициями Банковской и Торговой книгами, Банк решает жизненно важные задачи ценообразования, планирования, прогнозирования, управления рисками. Наш центр занимается контролем модельного риска (в том числе независимой оценкой качества – валидацией) по моделям, используемым для решения перечисленных задач - оценки справедливой стоимости финансовых инструментов и расчета ставок по банковским продуктам, прогнозирования поведения клиентов и реакции конкурентов, планирования показателей финансового результата, объемов продаж и долей рынка, управления риском ликвидности, валютным, процентным и рыночным рисками. Фокусами нашей деятельности являются повышение эффективности влияющих на P&L Банка моделей и проработка инструментов, помогающих оценить работу модели в различных сценариях будущего. Модели банковской и торговой книг решают очень широкий спектр задач разнообразными методами. От построения прогнозов для временных рядов до определения тональности новостей в торговых терминалах. От fbProphet до симуляционных монте-карло моделей, основанных на стохастических дифференциальных уравнениях. Что будешь делать ты? Что мы ожидаем от кандидата: Условия 
  							масштабноеAgile-комьюнити
  						 
  							цифровыхлюдей
  						 
  							продуктовыхкоманд 
  						 
  							профессиональных IT-сообществ
  						 
  							серверов
  						 
  							внедрений в год,изменения каждые30 сек
  						"	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Прогнозирование</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine Learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Машинное обучение</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div></div>"	https://rabota1000.ru/vacancy/105471575
Data Scientist	СБЕР	Сочи	Договорная	3–6 лет	"В задачи команды Sber AI – Центр развития ИИ во благо общества входит создание прототипов моделей направленных на решение социально значимых задач. Мы работаем на этапах от коммуникации с заказчиком (формулирование задачи) до передачи прототипа на промышленную реализацию. Наши задачи – возможность применить ML в областях имеющих социальную значимость (идентификация животных, распознавание жестовых языков для инвалидов по слуху, помощь в снижении климатических рисков). Это не многолетний «долгострой», а практические R&D проекты с обозримым горизонтом из разных доменов ML/DS. Решение этих задач позволяет с одной стороны применять современные ML методы, а с другой - не уходить в чистую науку и увидеть результат своей работы на практических данных. Основной фокус разрабатываемых прототипов – disrupt в области AI4SocialGood . Обязанности Требования Условия 
  							масштабноеAgile-комьюнити
  						 
  							цифровыхлюдей
  						 
  							продуктовыхкоманд 
  						 
  							профессиональных IT-сообществ
  						 
  							серверов
  						 
  							внедрений в год,изменения каждые30 сек
  						"	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/113249783
